what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1387906626512
started,bundle,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui",1387906626512
started,bundle,org.eclipse.wst.sse.core,1.1.502.v201008311901,"org.eclipse.wst.sse.core",1387906626512
started,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1387906626512
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1387906626528
os,sysinfo,,,"win32",1387906626528
arch,sysinfo,,,"x86",1387906626528
ws,sysinfo,,,"win32",1387906626528
locale,sysinfo,,,"es_ES",1387906626528
processors,sysinfo,,,"4",1387906626528
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1387906626528
java.runtime.version,sysinfo,,,"1.7.0_45-b18",1387906626528
java.specification.name,sysinfo,,,"Java Platform API Specification",1387906626528
java.specification.vendor,sysinfo,,,"Oracle Corporation",1387906626528
java.specification.version,sysinfo,,,"1.7",1387906626528
java.vendor,sysinfo,,,"Oracle Corporation",1387906626528
java.version,sysinfo,,,"1.7.0_45",1387906626528
java.vm.info,sysinfo,,,"mixed mode",1387906626528
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1387906626528
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1387906626528
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1387906626528
java.vm.specification.version,sysinfo,,,"1.7",1387906626528
java.vm.vendor,sysinfo,,,"Oracle Corporation",1387906626528
java.vm.version,sysinfo,,,"24.45-b08",1387906626528
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1387906626668
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1387906626746
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1387906627044
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1387906627091
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20100410-0300,"org.eclipse.php.debug.daemon",1387906627107
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1387906627154
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1387906627232
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1387906627403
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1387906627450
started,bundle,org.eclipse.php.server.core,2.2.0.v20100410-0300,"org.eclipse.php.server.core",1387906627466
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.1.v20100909-1720,"org.eclipse.dltk.core.index.sql.h2",1387906627544
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1387906628526
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1387906628573
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1387906628620
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1387906628979
started,bundle,org.eclipse.php.debug.core,2.2.0.v20100822-0100,"org.eclipse.php.debug.core",1387906629228
error,log,,,"The debug port 10000 is in use. Please select a different port for the debugger.",1387906629338
error,log,,,"The debug port 9000 is in use. Please select a different port for the debugger.",1387906629338
started,bundle,org.eclipse.php.debug.ui,2.2.0.v20100822-0100,"org.eclipse.php.debug.ui",1387906629384
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1387906630118
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1387906630430
closed,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1387906630539
started,bundle,org.eclipse.dltk.rse.core,2.0.1.v20100804-1944,"org.eclipse.dltk.rse.core",1387906637652
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1387906637792
started,bundle,org.eclipse.rse.core,3.1.101.v201009071110,"org.eclipse.rse.core",1387906637808
started,bundle,org.eclipse.rse.services,3.2.0.v201006041352,"org.eclipse.rse.services",1387906637932
started,bundle,org.eclipse.rse.ui,3.1.101.v201008191400,"org.eclipse.rse.ui",1387906638432
started,bundle,org.eclipse.rse.subsystems.files.core,3.2.1.v201008191400,"org.eclipse.rse.subsystems.files.core",1387906638447
started,bundle,org.eclipse.rse.subsystems.files.local,2.1.101.v200907301400,"org.eclipse.rse.subsystems.files.local",1387906638447
started,bundle,org.eclipse.rse.subsystems.shells.core,3.1.100.v201003010830,"org.eclipse.rse.subsystems.shells.core",1387906638510
started,bundle,org.eclipse.rse.subsystems.shells.local,2.1.100.v200905272300,"org.eclipse.rse.subsystems.shells.local",1387906638510
started,bundle,org.eclipse.rse.connectorservice.local,2.1.100.v200905272300,"org.eclipse.rse.connectorservice.local",1387906638588
started,bundle,org.eclipse.rse.services.local,2.1.201.v201009071110,"org.eclipse.rse.services.local",1387906638588
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1387906639399
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1387906640538
